UniqueCount	AmbigCount
0	3955
15	3994
0	3973
0	4019
4	3995
13	4024
0	3980
0	3964
0	3961
4	48
0	48
2	0
0	413
34	479
0	79
1	79
0	79
1	1827
101	1827
108	0
52	0
0	17
0	17
0	21
108	21
0	15
0	4
0	4
0	4
0	5
0	1
0	5
9	0
660	0
0	0
0	7
4	8
0	2009
2	2009
0	0
247	0
0	0
432	0
83	0
0	10
0	10
0	335
1	335
18	429
0	301
165	301
7	0
136	0
0	66
0	100
0	103
0	74
0	65
0	31
0	76
0	70
3	17
0	68
0	109
0	111
0	68
1	31
0	64
0	101
0	70
0	67
0	70
0	0
0	89
0	90
0	90
0	90
22	2
2	89
0	89
173	348
0	348
17	520
4	526
0	523
0	530
163	0
456	0
0	24
0	11
18	30
1	68
0	68
637	68
0	68
0	53
0	53
0	54
0	55
0	43
10	287
0	287
187	0
52	0
2204	0
0	79
0	79
0	96
0	79
2	94
0	79
1	10
0	10
0	629
0	452
0	393
0	389
14	449
0	624
0	629
3	451
0	1
0	1
0	78
0	78
10	382
0	382
0	378
0	32
0	32
1083	46
4	46
505	0
136	0
2	0
0	15
60	15
0	0
210	0
1147	0
149	472
0	502
0	559
0	163
0	167
0	500
0	592
0	592
1359	0
0	0
0	0
0	793
0	793
0	0
150	0
0	2
1	16
0	16
0	0
5112	0
4	0
0	0
46	0
1	164
0	139
0	0
279	0
0	23
54	23
0	671
0	671
0	671
4	671
2	671
570	0
0	13
0	7
0	13
0	1
0	1
0	236
0	262
0	245
0	236
3	262
0	262
0	134
0	42
0	132
0	160
0	134
0	159
0	0
0	958
31	949
0	951
0	951
0	0
0	0
0	0
0	3
0	3
0	207
56	207
0	170
21	96
0	93
0	96
0	96
0	93
0	96
0	96
286	1
1	663
0	0
0	0
0	0
1367	2136
0	2136
0	0
0	0
0	0
0	0
0	0
0	0
58	4854
0	4854
0	14
0	14
0	14
0	14
0	14
0	0
0	0
0	0
7	607
193	261
61	255
0	602
0	523
0	948
0	948
0	950
14	950
0	0
0	82
0	82
6	578
1	578
0	0
0	63
47	63
0	0
0	1389
0	1389
2	0
0	69
0	69
0	59
132	0
0	0
0	0
130	0
1	480
0	480
0	0
0	0
0	5
0	5
0	156
0	156
0	156
309	0
0	82
0	82
5	146
0	146
41	15
0	15
0	314
0	317
0	509
0	506
0	0
0	0
6	1295
0	1295
0	1292
0	1295
20	1292
0	1292
0	1292
477	0
3	93
0	93
8	499
0	498
0	0
1	0
0	223
0	223
0	715
1	715
0	0
0	0
0	68
0	68
0	49
1	49
0	49
1	45
1	44
0	12
0	12
12	176
0	176
0	139
0	4
27	4
0	1
2	624
0	589
0	627
1	701
0	701
0	699
0	698
0	179
0	178
0	175
0	175
0	174
0	174
31768	0
162	0
0	0
0	0
0	569
0	573
0	573
0	573
1	0
0	107
2	107
20042	0
1	0
0	123
0	123
0	123
0	0
0	260
0	252
59	0
245	0
0	1
0	1
0	0
820	0
49047	277790
3	0
0	0
0	15
0	41
0	39
0	15
0	39
0	15
0	39
0	13
0	13
9	30
0	30
0	30
0	0
44	0
0	5
3	5
0	0
0	0
0	0
19	185
0	185
87	0
0	143
0	143
0	143
0	60
16	0
0	340
1	333
2	340
140	0
1	0
0	1
0	1
0	0
0	0
0	0
0	0
0	647
0	619
0	589
0	619
0	42
0	42
0	42
153	220
0	141
1	216
7	0
0	0
16	0
8	0
0	0
192	0
200	0
10	0
0	2
2	0
0	2
234	0
261	0
0	0
1559	0
45	0
0	129
15	129
0	116
0	108
0	116
2	0
0	186
3	186
34	0
1	258
0	258
0	0
22	0
101	0
0	30
0	30
0	29
38	41
0	12
0	41
0	5
0	12
50	2440
4	2440
0	2404
0	2386
52	12104
0	12104
27	0
178	0
0	0
0	19373
197	19373
0	0
0	0
0	0
140	0
4	5245
0	5245
1	5245
1	5245
0	0
0	6
4	6
890	0
0	23
0	23
0	23
386	0
0	106
41	106
0	0
1275	1
0	0
0	0
0	0
0	0
1	0
0	34
0	42
0	34
3	42
10	1259
0	1259
126	0
0	311
0	216
0	311
13220	0
19	0
1	704
5	704
1	16
0	16
0	6
0	6
0	6
0	6
155	0
1	0
0	0
0	1
0	1
0	156
0	147
0	0
0	0
3	0
0	91
0	27
0	84
0	54
0	91
0	54
0	27
1	84
94	0
0	0
0	148
390	147
0	101
0	1150
0	1150
0	1150
17	1156
0	1148
0	1148
0	1141
0	1148
0	1146
3	11308
128	11311
0	11311
0	0
0	0
0	0
48	0
0	814
47	954
0	123
0	897
13	123
0	0
0	0
0	48
5	48
0	1638
0	1638
0	0
391	0
0	2
0	2
0	0
0	0
0	0
0	138
0	138
24	0
0	0
0	116
20	116
4	288
0	288
606	42431
21	41325
0	27707
2	42334
0	42432
0	42008
15	27663
0	27575
0	40760
50	0
4	551
1	550
0	551
0	337
0	332
9	876
0	867
1	342
0	893
0	889
0	889
0	855
0	874
0	888
87	0
82	828
1	827
0	829
81	0
247	0
0	0
143	62
0	62
240	0
0	21
0	21
0	125
0	77
0	125
0	125
0	783
1	783
1	1
0	1
9	203
0	203
319	0
25	1403
0	1403
0	0
0	0
1	2193
0	2193
2	0
0	0
0	0
0	0
311	0
58	0
0	129
0	126
0	129
3	125
1	126
87	0
302	0
18	0
0	1561
8	1561
0	3
1	4
0	4
3	0
0	0
17469	0
0	15
0	14
0	15
0	3
0	15
0	14
0	16
0	4
0	14
1	1
0	9
0	9
1	0
0	0
1	0
0	0
0	0
0	0
0	0
0	15
0	15
0	0
1	0
504	0
134	0
91	0
6	830
0	830
9	811
0	0
0	0
17	0
0	153
0	153
1056	0
2	0
0	11
0	18
0	18
0	0
0	11
0	11
0	18
0	11
5	0
0	0
0	41
0	41
0	0
0	93
0	93
0	0
0	0
0	0
0	0
0	0
10	48
0	47
16	0
0	95
0	97
0	97
0	95
10	0
2	145
0	145
186	0
29	0
1866	0
69	0
0	0
0	144
1	144
483	0
79	0
43	0
0	2
0	2
0	2
0	17
0	17
0	13
0	210
0	214
