gene_symbol	query_name	mpi
roA4	3eAl	-0.24423281745129036
bUhm	3eAl	0.6900761888944379
Kb5V	3eAl	-3.542409369756878
UcgU	3eAl	2.8033604312010136
1eIZ	3eAl	-0.5560402356805079
ho5m	3eAl	-2.3494756926681952
pTbc	3eAl	1.8572910339544813
003j	3eAl	-0.2317679000901093
zeOI	3eAl	1.793974118685015
WG3x	3eAl	1.774144810523255
9WGi	3eAl	2.149872350318312
cmF8	3eAl	3.918021357071952
rqri	3eAl	-0.2202827160920653
TNT4	3eAl	3.771311793903762
Tofr	3eAl	3.6939208225864957
5arJ	3eAl	4.0560408533755155
BDTj	3eAl	4.0423939433545
p1My	3eAl	4.172290721571311
SmcG	3eAl	3.647159684601023
jJ2J	3eAl	4.096435787882946
PRY4	3eAl	-0.09421158394329276
KMTI	3eAl	2.812576542197538
MBhj	3eAl	3.4706309510183426
6J6k	3eAl	2.4252572925702216
dwaa	3eAl	1.6606110056930805
KWQg	3eAl	-1.853047930616273
TD4b	3eAl	2.9163765144926503
PgSt	3eAl	2.2171794947460848
vqIu	3eAl	-0.8951840936704666
ng3t	3eAl	1.0213798883292122
h99C	3eAl	-0.22566003069876694
rrYb	3eAl	1.9442314879530649
aGmd	3eAl	-0.9588347338724648
bgF6	3eAl	0.821476950614765
f0Pt	3eAl	3.0137487321136716
wjQm	3KN2	2.468920644866192
rmzQ	3KN2	-1.7646845080200582
x8rj	3KN2	1.8227364585335708
JgMH	3KN2	-1.5889561105414542
5iRk	3KN2	-0.12056789839764716
PExd	3KN2	0.7631024538653735
j7Vg	3KN2	1.5233879372233496
q4gE	3KN2	-0.706735839720899
McUH	3KN2	-0.5845804993692948
vBxA	3KN2	-0.3522570974256124
ikBP	3KN2	-0.485473405097584
MGdy	3KN2	-0.05290821330286119
HPbz	3KN2	NA
Euun	3KN2	1.4829602962474229
RGyC	3KN2	0.8550008569582604
tjTq	3KN2	3.261414133591763
suFQ	3KN2	-2.0837712717078842
NH5j	3KN2	1.247320155042519
1SrW	3KN2	1.4111171379363288
vHIu	3KN2	1.910557911156818
