UniqueCount	AmbigCount
0	4165
28	4200
0	4180
0	4224
16	4196
22	4233
0	4191
0	4173
0	4167
7	113
0	113
2	0
0	638
25	716
0	93
2	94
0	93
2	2258
242	2258
189	0
72	0
0	25
0	25
0	128
113	128
0	117
0	2
0	2
0	2
0	1
0	1
0	1
6	0
749	0
0	0
0	4
1	4
0	3394
7	3394
0	0
412	0
0	0
503	0
94	0
1	30
0	30
0	301
0	300
10	436
0	588
196	588
9	0
299	0
0	94
0	115
0	120
0	92
0	91
0	57
0	95
0	102
3	16
0	97
0	122
0	114
0	98
1	57
0	93
0	124
0	102
0	97
0	102
0	0
0	168
0	169
0	169
0	168
56	2
3	181
0	181
125	465
0	465
38	720
1	746
10	735
1	761
108	0
795	0
0	14
0	10
5	16
0	289
4	289
770	289
0	289
0	124
0	124
0	101
0	104
0	82
9	395
0	395
339	0
50	0
2248	0
0	129
0	128
0	148
0	129
0	146
0	129
3	36
0	36
0	827
2	672
0	574
2	551
46	671
1	822
1	827
5	672
0	1
0	1
0	228
0	228
17	569
1	569
0	561
0	59
0	59
1705	118
3	118
515	0
207	0
0	0
0	76
60	76
0	0
176	0
1845	0
111	435
0	431
0	589
0	212
0	225
0	428
2	617
0	617
2395	0
0	0
0	0
0	1415
0	1415
0	0
168	0
0	0
7	12
1	12
0	0
4744	0
8	0
0	0
85	0
1	97
0	73
0	0
438	0
1	64
84	64
0	894
0	893
2	893
12	893
8	894
423	0
0	8
0	6
0	8
0	0
0	0
0	462
0	510
0	487
0	462
2	518
0	522
1	193
0	116
0	190
0	207
0	197
0	211
1	0
1	1152
18	1130
1	1140
0	1141
0	3
1	3
0	3
0	6
0	6
0	266
63	266
0	243
20	173
0	172
0	173
0	173
0	172
0	173
0	173
383	1
0	693
0	0
0	0
0	0
1317	3916
0	3916
0	0
0	0
0	0
0	0
0	0
0	0
238	7647
1	7647
0	23
0	24
0	23
0	24
0	24
0	0
0	0
0	0
5	1233
279	795
47	781
0	1223
0	1183
0	1471
0	1471
0	1472
22	1472
0	0
0	210
0	210
0	73
0	73
0	0
0	121
38	121
1	0
0	1641
0	1641
0	0
0	70
0	70
0	60
198	0
0	0
0	0
187	0
1	853
0	853
0	0
0	0
0	6
0	6
0	247
0	248
0	248
360	0
0	104
0	104
8	220
0	220
52	78
0	78
0	395
0	400
0	613
0	608
0	0
0	0
18	1805
0	1806
0	1793
0	1805
8	1792
0	1792
0	1792
517	0
2	114
0	114
12	681
0	681
0	0
0	0
0	234
0	234
0	937
0	937
0	0
0	0
0	137
0	137
0	81
0	80
0	81
0	65
0	76
0	39
0	39
11	323
0	323
0	294
0	32
71	32
0	20
3	1458
3	1368
0	1472
0	1061
1	1060
0	1058
0	1057
0	303
0	313
0	300
0	295
0	306
0	310
4	0
264	0
0	0
0	0
0	885
0	886
0	886
0	886
0	0
0	138
1	138
20762	0
12	0
0	176
0	175
0	176
0	0
0	290
0	290
59	1
566	0
0	0
0	0
0	0
1112	0
61882	355171
0	0
0	0
0	27
0	46
0	46
0	27
0	46
0	27
0	46
0	14
0	14
24	67
0	66
0	67
0	0
55	0
0	7
1	7
0	0
0	0
0	0
15	201
0	201
74	0
0	266
0	266
0	266
0	168
21	0
0	510
0	483
0	510
316	0
1	0
0	0
0	0
0	0
0	0
2	0
0	0
0	908
0	839
1	813
0	853
0	151
0	151
0	151
136	471
0	389
3	462
22	0
1	0
15	0
11	0
0	0
182	0
267	0
18	0
0	1
0	0
0	1
359	0
273	0
0	0
1078	0
44	0
0	167
22	167
0	151
0	140
0	151
1	0
0	162
0	162
45	0
1	350
0	350
0	0
29	0
172	0
0	55
0	55
0	55
45	54
0	25
0	52
0	15
1	23
95	3489
9	3489
0	3429
0	3401
84	23538
0	23538
62	0
319	0
0	0
0	16040
241	16040
0	0
0	0
0	0
310	0
3	7506
2	7508
11	7508
1	7508
0	0
1	15
4	15
1404	0
0	61
1	59
0	61
616	0
0	166
26	166
0	0
1486	0
0	0
0	0
0	0
0	0
1	0
0	53
0	61
0	53
2	61
6	1520
0	1520
176	0
0	596
0	483
0	596
16838	0
27	0
9	1057
8	1057
5	17
2	17
0	5
0	5
0	5
0	5
209	0
0	0
0	0
0	0
0	0
0	188
0	176
0	1
0	1
10	0
0	98
0	33
0	90
0	65
0	101
0	62
0	35
6	94
168	0
0	0
1	595
431	595
